Name,Transliteration,Meaning,Gender,Language
Adriaan,,Dark one,Male,Afrikaans
Aiden,,Little fire,Male,Afrikaans
Albert,,Noble and bright,Male,Afrikaans
Alexander,,Defender of the people,Male,Afrikaans
Andries,,"Manly, brave",Male,Afrikaans
Anton,,Priceless,Male,Afrikaans
Arnold,,Eagle power,Male,Afrikaans
Bennie,,Blessed,Male,Afrikaans
Bernard,,Brave as a bear,Male,Afrikaans
Bertus,,"Bright, shining",Male,Afrikaans
Boet,,Brother,Male,Afrikaans
Braam,,Bramble,Male,Afrikaans
Carl,,Free man,Male,Afrikaans
Christiaan,,Christian,Male,Afrikaans
Cobus,,Victory of the people,Male,Afrikaans
Daniel,,God is my judge,Male,Afrikaans
David,,Beloved,Male,Afrikaans
Dewald,,Active ruler,Male,Afrikaans
Dion,,Follower of Dionysus,Male,Afrikaans
Dirk,,Ruler of the people,Male,Afrikaans
Douw,,Dark,Male,Afrikaans
Eben,,Stone,Male,Afrikaans
Eddie,,Wealthy guardian,Male,Afrikaans
Elias,,The Lord is my God,Male,Afrikaans
Elvis,,All wise,Male,Afrikaans
Emmanuel,,God is with us,Male,Afrikaans
Ernst,,Serious,Male,Afrikaans
Francois,,Free man,Male,Afrikaans
Frederik,,Peaceful ruler,Male,Afrikaans
Gideon,,"Hewer, one who cuts trees",Male,Afrikaans
Gert,,Brave with a spear,Male,Afrikaans
Hannes,,God is gracious,Male,Afrikaans
Hendrik,,Ruler of the home,Male,Afrikaans
Herman,,Soldier,Male,Afrikaans
Jacobus,,Supplanter,Male,Afrikaans
Jan,,God is gracious,Male,Afrikaans
Jasper,,Treasurer,Male,Afrikaans
Johan,,God is gracious,Male,Afrikaans
John,,God is gracious,Male,Afrikaans
Jordaan,,Descending,Male,Afrikaans
Jozua,,God is salvation,Male,Afrikaans
Jurgens,,Farmer,Male,Afrikaans
Karl,,Free man,Male,Afrikaans
Kobus,,Victory of the people,Male,Afrikaans
Koos,,Victory of the people,Male,Afrikaans
Kritz,,Courtier,Male,Afrikaans
Louw,,Famous warrior,Male,Afrikaans
Louis,,Famous warrior,Male,Afrikaans
Lucas,,Light,Male,Afrikaans
Lukas,,Light,Male,Afrikaans
Malcolm,,Disciple of Saint Columba,Male,Afrikaans
Marinus,,Of the sea,Male,Afrikaans
Martin,,Warrior of Mars,Male,Afrikaans
Matthys,,Gift of God,Male,Afrikaans
Marius,,"Male, manly",Male,Afrikaans
Marthinus,,Of Mars,Male,Afrikaans
Mervyn,,Sea hill,Male,Afrikaans
Michiel,,Who is like God?,Male,Afrikaans
Moe,,Small,Male,Afrikaans
Morne,,Little mountain,Male,Afrikaans
Nico,,Victory of the people,Male,Afrikaans
Niek,,Victory of the people,Male,Afrikaans
Pieter,,Rock,Male,Afrikaans
Ralph,,Wolf counsel,Male,Afrikaans
Reinhold,,Brave ruler,Male,Afrikaans
Rikus,,Powerful ruler,Male,Afrikaans
Rory,,Red king,Male,Afrikaans
Ruben,,"Behold, a son",Male,Afrikaans
Sarel,,Prince,Male,Afrikaans
Simon,,Heard,Male,Afrikaans
Stefan,,Crown,Male,Afrikaans
Steven,,Crown,Male,Afrikaans
Tiaan,,Earth,Male,Afrikaans
Timon,,Honoring God,Male,Afrikaans
Tobias,,God is good,Male,Afrikaans
Tyrone,,Land,Male,Afrikaans
Valentin,,"Strong, healthy",Male,Afrikaans
Van,,From,Male,Afrikaans
Vaughn,,Small,Male,Afrikaans
Victor,,Conqueror,Male,Afrikaans
Wade,,To go,Male,Afrikaans
Walter,,Ruler of the army,Male,Afrikaans
Wilhelm,,Desiring peace,Male,Afrikaans
Willem,,Resolute protector,Male,Afrikaans
Wynand,,Friend of the forest,Male,Afrikaans
Xander,,Defender of the people,Male,Afrikaans
Yannick,,God is gracious,Male,Afrikaans
Zachariah,,The Lord has remembered,Male,Afrikaans
Zander,,Defender of the people,Male,Afrikaans
Abel,,Breath,Male,Afrikaans
Alfie,,Elf counsel,Male,Afrikaans
André,,"Manly, brave",Male,Afrikaans
Anthonie,,Priceless,Male,Afrikaans
Arnoldus,,Eagle power,Male,Afrikaans
Balthazar,,Baal protects the king,Male,Afrikaans
Barnard,,Brave as a bear,Male,Afrikaans
Bartholomew,,Son of the furrows,Male,Afrikaans
Berend,,Brave as a bear,Male,Afrikaans
Bernardo,,Brave as a bear,Male,Afrikaans
Bernhardt,,Brave as a bear,Male,Afrikaans
Boetie,,Little brother,Male,Afrikaans
Brendon,,Sword,Male,Afrikaans
Bruno,,Brown,Male,Afrikaans
Carlien,,Free man,Male,Afrikaans
Christo,,Anointed,Male,Afrikaans
Claas,,Fame,Male,Afrikaans
Clyde,,Welsh river,Male,Afrikaans
Cornelius,,Horn,Male,Afrikaans
Daniël,,God is my judge,Male,Afrikaans
Dirkie,,Ruler of the people,Male,Afrikaans
Douwie,,Dark,Male,Afrikaans
Elmar,,Famous,Male,Afrikaans
Enoch,,Dedicated,Male,Afrikaans
Gertie,,Brave with a spear,Male,Afrikaans
Gerhard,,Brave spear,Male,Afrikaans
Gysbert,,Bright,Male,Afrikaans
Hendrikus,,Ruler of the home,Male,Afrikaans
Hermanus,,Soldier,Male,Afrikaans
Ignatius,,Fiery,Male,Afrikaans
Jabez,,Sorrow,Male,Afrikaans
Jakobus,,Supplanter,Male,Afrikaans
Jannes,,God is gracious,Male,Afrikaans
Johanus,,God is gracious,Male,Afrikaans
Johannes,,God is gracious,Male,Afrikaans
Jozef,,God will increase,Male,Afrikaans
Karel,,Free man,Male,Afrikaans
Klaas,,Fame,Male,Afrikaans
Koen,,Brave,Male,Afrikaans
Kristian,,Christian,Male,Afrikaans
Lammert,,Famous,Male,Afrikaans
Lars,,Crown,Male,Afrikaans
Leon,,Lion,Male,Afrikaans
Loris,,Laurel,Male,Afrikaans
Louisus,,Famous warrior,Male,Afrikaans
Lukas,,Light,Male,Afrikaans
Maximilian,,Greatest,Male,Afrikaans
Micheal,,Who is like God?,Male,Afrikaans
Miko,,Who is like God?,Male,Afrikaans
Nicolaas,,Victory of the people,Male,Afrikaans
Oswald,,Divine power,Male,Afrikaans
Ralphus,,Wolf counsel,Male,Afrikaans
Reinier,,Wise ruler,Male,Afrikaans
Rikus,,Powerful ruler,Male,Afrikaans
Siegfried,,Victory peace,Male,Afrikaans
Stefanus,,Crown,Male,Afrikaans
Tobias,,God is good,Male,Afrikaans
Aandega,,Evening star,Female,Afrikaans
Anneliese,,"Graceful, devoted",Female,Afrikaans
Angelika,,Angelic,Female,Afrikaans
Barbara,,Foreign woman,Female,Afrikaans
Bella,,Beautiful,Female,Afrikaans
Berna,,Brave as a bear,Female,Afrikaans
Bibi,,"Lady, noble",Female,Afrikaans
Bonita,,Pretty,Female,Afrikaans
Carla,,Free woman,Female,Afrikaans
Cecilia,,"Blind, sixth",Female,Afrikaans
Celeste,,"Heavenly, celestial",Female,Afrikaans
