question,choice
Make a video of you singing your favorite song and post it to social media.,Dare
"When is the last time you tried to silently fart, but it ended up being loud?",Truth 
Let the group make you a smoothie out of anything they want that you must drink.,Dare
Do you wash your hands every time after you go to the bathroom?,Truth 
What's the last big mistake you made in front of others?,Truth
What's something you thought your parents didn't know but found out later they did?,Truth
What's the last thing you binged ate?,Truth
Let the group duct tape a part of your body of their choice and rip it off.,Dare
Let the group give you a permanent marker mustache.,Dare
Have you ever accidentally destroyed something that was important to someone else?,Truth
Pick your nose and eat it.,Dare
Try to swallow a spoonful of cinnamon with no liquid.,Dare
Read your last text conversation out loud to the group.,Dare
Let the group have access to your phone for ten minutes.,Dare
Wash your mouth out with soap and water.,Dare
Have you ever tried ecstasy?,Truth
Talk the rest of the game without opening your mouth.,Dare
When's the last time you sharted?,Truth
Let the group blindfold you and feed you something out of the refrigerator.,Dare
Have you ever eaten something that was already thrown in the trash?,Truth
What was the most embarrassing thing you accidentally texted to the wrong person?,Truth
When's the last time you snored loudly in front of others?,Truth
"If you could be invisible for a day, what’s the first thing you would do?",Truth
What’s one thing you love most about yourself?,Truth
Who is your secret crush?,Truth
Who is the last person you creeped on social media?,Truth
When was the last time you wet the bed?,Truth
"If a genie granted you three wishes, what would you ask for and why?",Truth
What’s your biggest regret?,Truth
"If you had to only ever watch rom-coms or only watch scary movies for the rest of your life, which would you choose and why?",Truth 
Which player would survive a zombie apocalypse and which would be the first to go?,Truth
Reveal all the details of your first kiss.,Truth
What excuse have you used before to get out plans?,Truth
What's the longest you've ever slept?,Truth
Read the last text you sent your best friend or significant other out loud.,Truth
What's the most embarrassing thing you ever did on a date?,Truth
What is the boldest pickup line you've ever used?,Truth
When was the last time you cried?,Truth
What's the longest time you've ever gone without showering?,Truth
"If you could be a fictional character for a day, who would you choose?",Truth
"If you had to change your name, what would your new first name be?",Truth
What's your biggest fear?,Truth
What's one silly thing you can't live without?,Truth
Where was your favorite childhood vacation spot?,Truth
Who do you text the most?,Truth
What is the weirdest trend you've ever participated in?,Truth
What’s an instant deal breaker in a potential love interest?,Truth
". If you could only eat one thing for the rest of your life, what would you choose?",Truth
What is the biggest lie you ever told your parents?,Truth
What's the worst physical pain you've ever experienced?,Truth
"If you could only accomplish three things in life, what would they be?",Truth
Pick someone in this room and (lovingly) roast them for one minute straight.,Dare
Hand over your phone to another player who can send a single text saying anything they want to anyone they want.,Dare
Imitate a TikTok star until another player guesses who you're portraying.,Dare
Act like a chicken until your next turn,Dare
Show us your best dance moves.,Dare
Put on a blindfold and touch the other players' faces until you can figure out who's who.,Dare
Bite into a raw onion without slicing it.,Dare
Serenade the person to your right for a full minute.,Dare
Do 20 squats.,Dare
"Dump out your purse, backpack, or pockets and do a show and tell of what's inside.",Dare
Prank call one of your family members.,Dare
Do your sassiest runway walk.,Dare
"Put five ice cubes in your mouth (you can't chew them, you just have to let them melt—brrr).",Dare
Draw your favorite movie and have the other person guess it (Pictionary-style).,Dare
Repeat everything the person to your right says until your next turn.,Dare
Go on Instagram Live and do a dramatic reading of one of your textbooks.,Dare
"In the next 10 minutes, find a way to scare another player and make it a surprise.",Dare
Go to your crush’s Instagram page and like something from several weeks ago.,Dare
Do karaoke to a song of the group’s choosing.,Dare
Post a photo (any photo) to social with a heartfelt dedication to a celebrity of the group’s choosing.,Dare
Describe the most attractive quality of every person in the room.,Dare
Let everyone pose you in an embarrassing position and post a picture to Instagram.,Dare
Stand outside your house and wave to everyone who passes in the next minute.,Dare
Post a flirty comment on the first Instagram picture that you see.,Dare
What superstitions do you believe in?,Truth
What’s the weirdest place you’ve kissed/hooked up with someone?,Truth
What’s the scariest dream you’ve ever had?,Truth 
What’s the worst thing you’ve ever said to anyone?,Truth
"If you could become besties with a celebrity, who would it be?",Truth
What’s the most embarrassing nickname you’ve ever been given?,Truth
"If you could trade lives with any person you know for a day, who would it be?",Truth
What gross food combo do you secretly love?,Truth
Have you ever had an imaginary friend? Describe them.,Truth
What’s the weirdest thing you do when you’re alone?,Truth
Have you ever re-gifted a present? What was it?,Truth
Do you believe in soul mates?,Truth
What do you want to be remembered for most in life?,Truth
Do you have any phobias?,Truth
What’s the luckiest thing that’s ever happened to you?,Truth
When have you been in the most trouble in school?,Truth
"If you had to always be overdressed or underdressed, which would you choose?",Truth
Name your go-to karaoke song.,Truth
Have you ever cheated on an exam?,Truth
What unexpected part of the body do you find attractive?,Truth
"If you were handed $1,000 right now, what would you spend it on?",Truth
"If you could have lunch with a famous person, dead or alive, who would you pick and why?",Truth
Who was the last person you said “I love you” to?,Truth
When’s the last time you got caught in a lie?,Truth
What are the five most recent things in your search history?,Truth
What’s the last movie that made you cry?,Truth
Have you ever sent a sext?,Truth
What’s the most embarrassing thing you’ve done to get a crush’s attention?,Truth
Do you still have feelings for any of your exes?,Truth 
When’s the last time you said you were sorry? For what?,Truth 
What is your biggest insecurity?,Truth
What is your worst habit?,Truth
What are the top three things you look for in a love interest?,Truth 
Tell us about the biggest romantic fail you’ve ever experienced.,Truth
What's the weirdest thing you've ever eaten?,Truth
What popular TV show or movie do you secretly hate?,Truth
"If you had to move to a different country tomorrow, where would you go?",Truth
What’s more important to you: love or money?,Truth
