WORDS,MEANING
cachinnate,laugh loudly
squib,short or sarcastic saying or writing
jaculiferous,having dartlike spine
taradiddle ,small lie
pschent,double crwon worn by ancient egyptian kings
fizgig,firework that makes a loud hissing sound
ballyhoo,clamorous or vigorous attempt to win customers or advance any cause
fardel,a bundle
wassail,a salutation wishing health to  a person
gallimaufry,a hodgepodge
kelebe,"a mixing bowl, characterised by a wide neck and flanged lip from which two vertical handles to the shoulder of an oval body, used to mix wine and water"
Salmagundi,"mixed dish consisting usually of cubed poultry or fish, chopped meat, anchovies, eggs, onions, oil, etc., often served as a salad."
Hugger-mugger,disorder or confusion
Jabberwocky,"a playful imitation of language consisting of invented, meaningless words"
Ballyrag,To bully or annoyingly tease someone
Buttress,"A component that provides stability, strength, or support"
Catawampus,Standing askew or awry
Chockablock,"Packed, brimming; very full"
Dongle,A small electronic device to connect a computer. Sometimes used as an adapter for other devices or for added features.
Frippery,Clothing or finery that’s seen as frivolous or foolish
Gambo,"A low, flat farm cart"
Hootenanny,An informal gathering with folk music
Hullabaloo,A commotion
Innuendo,"an insinuation, particularly one that veils an opinion about a person’s character"
Kenspeckle,Conspicuous
Lollygag,"Wasting time, foolishly causing delay"
Oomph,To give something punch or gusto; personal charm or appeal
Popple,"Rough and choppy waters, typically referring to seafaring conditions"
Sked,Schedule
Syzygy,When three celestial bodies are almost aligned in a straight line
Ragtag,"Untidy, disorganized, or varied in character"
Unked,"Strange, weird, ghastly"
Verklempt,Seized with overwhelming emotion
Whiffler,A person who dodges arguments through evasion; changes course often
Xeric,Needing only minimal moisture
Zonk,To stun or strike; pass out
Abaft,toward or at the stern of a ship; further aft
Abatjour,skylight or device to direct light into a room
Agastopia,admiration of a particular part of someone’s body
Argle-bargle,copious but meaningless talk or writing
Baboonery,foolishness; stupidity; nonsense
Bacchanal,drunkard; a reveler
Bibble,to drink often; to eat and/or drink noisily
Bumfuzzle,"confused, perplexed"
Cabotage,coastal navigation; the exclusive right of a country to control the air traffic within its borders
Cacodemonomania,the pathological belief that one is inhabited by an evil spirit
Caffoy,velvety fabric
Dactylioglyph,engraver of rings or gems
Decadarchy,government by ten individuals
Discombobulate,to disconcert or confuse
Dragoman,an interpreter or professional guide for travelers
Eellogofusciouhipoppokunurious,"very good, very fine"
Elchee,an ambassador
Erf,a plot of land
Erinaceous,of or relating to hedgehogs
Falsiloquence,deceitful speech
Finifugal,afraid of finishing anything
Flummox,to perplex someone greatly
Frankenfood,genetically modified food
Gablock,spur attached to the heel of a fighting cock
Gadzooks,mild oath
Gardyloo,used in medieval Edinburgh as a warning cry when it was customary to throw slops from the windows into the streets
Gobbledygook,a meaningless language
Halfpace,a platform of a staircase where the stair turns back in exactly the reverse direction of the lower flight
Hallux,big toe
Hent,to grasp; to seize
Ickle,little
Ill-willie,having an unfriendly disposition
Imago,the idealized mental image of a person
Impignorate,"to pledge, pawn or mortgage"
Jabberwock,"nonsense, gibberish"
Jaculiferous,having arrow-like prickles
Jargoon,brilliant pale or colorless zircon
Jentacular,pertaining to breakfast
Kakorrhaphiophobia,fear of failure
Karozzin,Maltese horse-drawn carriage
Kennebecker,knapsack
Kerfuffle,a commotion or fuss
Lackadaisical,lacking enthusiasm or determination
Lamprophony,speaking in loud and clear tones
Largiloquent,talkative; full of words
Mabble,to wrap up
Macaroni,nonsense; foolishness
Macrosmatic,having a good sense of smell
Meldrop,"a drop of mucus at the nose, whether produced by cold or otherwise"
Nainsook,fine cotton fabric
Naze,headland or cape
Nebulize,to reduce to spray
Nudiustertian,the day before yesterday
Obnixely,earnestly; strenuously
Obrotund,round but flattened on top and bottom
Octothorpe,the pound sign (#)
Oxter,to take under the arm; to support by taking the arm
Paean,song of thanksgiving
Paleobotany,the study of ancient plants
Pauciloquent,of few words; speaking little
Poppycock,nonsense
Quackle,to choke; to suffocate
Quadragenarian,a person between 40 and 49 years of age
Quire,two dozen sheets of paper
Quomodocunquizing,making money in any way that you can
Rabble,a device for stirring molten iron in a furnace
Rabelaisian,coarsely hilarious
